"","V1","V2"
"c.9..35.",9,35
"c.9..36.",9,36
"c.9..37.",9,37
"c.9..42.",9,42
"c.9..47.",9,47
"c.9..49.",9,49
"c.9..50.",9,50
"c.9..51.",9,51
"c.9..52.",9,52
"c.9..56.",9,56
"c.9..63.",9,63
"c.9..65.",9,65
"c.9..72.",9,72
"c.9..80.",9,80
"c.9..82.",9,82
"c.10..17.",10,17
"c.10..18.",10,18
"c.10..19.",10,19
"c.10..20.",10,20
"c.10..23.",10,23
"c.10..31.",10,31
"c.10..45.",10,45
"c.10..55.",10,55
"c.10..75.",10,75
"c.10..85.",10,85
"c.10..87.",10,87
"c.10..88.",10,88
"c.10..89.",10,89
"c.10..90.",10,90
"c.10..92.",10,92
"c.10..93.",10,93
"c.11..25.",11,25
"c.11..27.",11,27
"c.11..38.",11,38
"c.11..42.",11,42
"c.11..46.",11,46
"c.11..53.",11,53
"c.11..54.",11,54
"c.11..60.",11,60
"c.11..64.",11,64
"c.11..68.",11,68
"c.11..69.",11,69
"c.11..72.",11,72
"c.11..74.",11,74
"c.11..76.",11,76
"c.11..78.",11,78
"c.11..83.",11,83
"c.11..86.",11,86
"c.11..90.",11,90
"c.11..96.",11,96
"c.12..17.",12,17
"c.12..25.",12,25
"c.12..38.",12,38
"c.12..41.",12,41
"c.12..44.",12,44
"c.12..46.",12,46
"c.12..53.",12,53
"c.12..60.",12,60
"c.12..64.",12,64
"c.12..66.",12,66
"c.12..67.",12,67
"c.12..68.",12,68
"c.12..69.",12,69
"c.12..72.",12,72
"c.12..74.",12,74
"c.12..76.",12,76
"c.12..83.",12,83
"c.13..16.",13,16
"c.13..22.",13,22
"c.13..32.",13,32
"c.13..34.",13,34
"c.13..36.",13,36
"c.13..37.",13,37
"c.13..47.",13,47
"c.13..56.",13,56
"c.13..58.",13,58
"c.13..59.",13,59
"c.13..79.",13,79
"c.13..80.",13,80
"c.13..84.",13,84
"c.13..91.",13,91
"c.13..94.",13,94
"c.13..95.",13,95
"c.13..97.",13,97
"c.13..98.",13,98
"c.14..15.",14,15
"c.14..24.",14,24
"c.14..25.",14,25
"c.14..30.",14,30
"c.14..35.",14,35
"c.14..38.",14,38
"c.14..40.",14,40
"c.14..41.",14,41
"c.14..42.",14,42
"c.14..48.",14,48
"c.14..68.",14,68
"c.14..76.",14,76
"c.14..81.",14,81
"c.14..83.",14,83
"c.14..87.",14,87
"c.15..21.",15,21
"c.15..24.",15,24
"c.15..25.",15,25
"c.15..30.",15,30
"c.15..35.",15,35
"c.15..38.",15,38
"c.15..42.",15,42
"c.15..46.",15,46
"c.15..53.",15,53
"c.15..60.",15,60
"c.15..68.",15,68
"c.15..70.",15,70
"c.15..76.",15,76
"c.15..86.",15,86
"c.15..87.",15,87
"c.15..96.",15,96
"c.16..32.",16,32
"c.16..34.",16,34
"c.16..37.",16,37
"c.16..47.",16,47
"c.16..51.",16,51
"c.16..52.",16,52
"c.16..56.",16,56
"c.16..58.",16,58
"c.16..59.",16,59
"c.16..63.",16,63
"c.16..65.",16,65
"c.16..79.",16,79
"c.16..91.",16,91
"c.16..94.",16,94
"c.16..95.",16,95
"c.16..97.",16,97
"c.16..98.",16,98
"c.17..33.",17,33
"c.17..41.",17,41
"c.17..43.",17,43
"c.17..44.",17,44
"c.17..53.",17,53
"c.17..54.",17,54
"c.17..64.",17,64
"c.17..69.",17,69
"c.17..70.",17,70
"c.17..72.",17,72
"c.17..74.",17,74
"c.17..76.",17,76
"c.17..78.",17,78
"c.17..83.",17,83
"c.17..90.",17,90
"c.18..20.",18,20
"c.18..23.",18,23
"c.18..33.",18,33
"c.18..41.",18,41
"c.18..45.",18,45
"c.18..55.",18,55
"c.18..66.",18,66
"c.18..69.",18,69
"c.18..75.",18,75
"c.18..83.",18,83
"c.18..85.",18,85
"c.18..88.",18,88
"c.18..90.",18,90
"c.18..92.",18,92
"c.19..20.",19,20
"c.19..23.",19,23
"c.19..24.",19,24
"c.19..30.",19,30
"c.19..31.",19,31
"c.19..42.",19,42
"c.19..55.",19,55
"c.19..61.",19,61
"c.19..68.",19,68
"c.19..75.",19,75
"c.19..85.",19,85
"c.19..87.",19,87
"c.19..88.",19,88
"c.19..89.",19,89
"c.19..90.",19,90
"c.19..92.",19,92
"c.19..93.",19,93
"c.20..23.",20,23
"c.20..31.",20,31
"c.20..45.",20,45
"c.20..55.",20,55
"c.20..75.",20,75
"c.20..85.",20,85
"c.20..87.",20,87
"c.20..88.",20,88
"c.20..89.",20,89
"c.20..90.",20,90
"c.20..92.",20,92
"c.20..93.",20,93
"c.21..24.",21,24
"c.21..25.",21,25
"c.21..30.",21,30
"c.21..35.",21,35
"c.21..38.",21,38
"c.21..42.",21,42
"c.21..46.",21,46
"c.21..48.",21,48
"c.21..53.",21,53
"c.21..61.",21,61
"c.21..68.",21,68
"c.21..70.",21,70
"c.21..76.",21,76
"c.21..86.",21,86
"c.21..87.",21,87
"c.21..96.",21,96
"c.22..32.",22,32
"c.22..34.",22,34
"c.22..36.",22,36
"c.22..37.",22,37
"c.22..47.",22,47
"c.22..50.",22,50
"c.22..56.",22,56
"c.22..58.",22,58
"c.22..79.",22,79
"c.22..80.",22,80
"c.22..82.",22,82
"c.22..84.",22,84
"c.22..91.",22,91
"c.22..94.",22,94
"c.22..95.",22,95
"c.22..97.",22,97
"c.22..98.",22,98
"c.23..24.",23,24
"c.23..30.",23,30
"c.23..31.",23,31
"c.23..45.",23,45
"c.23..55.",23,55
"c.23..75.",23,75
"c.23..85.",23,85
"c.23..88.",23,88
"c.23..89.",23,89
"c.23..90.",23,90
"c.23..92.",23,92
"c.23..93.",23,93
"c.24..25.",24,25
"c.24..30.",24,30
"c.24..35.",24,35
"c.24..38.",24,38
"c.24..42.",24,42
"c.24..46.",24,46
"c.24..48.",24,48
"c.24..53.",24,53
"c.24..60.",24,60
"c.24..61.",24,61
"c.24..64.",24,64
"c.24..68.",24,68
"c.24..76.",24,76
"c.24..87.",24,87
"c.24..96.",24,96
"c.25..27.",25,27
"c.25..38.",25,38
"c.25..42.",25,42
"c.25..44.",25,44
"c.25..48.",25,48
"c.25..53.",25,53
"c.25..54.",25,54
"c.25..60.",25,60
"c.25..61.",25,61
"c.25..64.",25,64
"c.25..68.",25,68
"c.25..69.",25,69
"c.25..72.",25,72
"c.25..74.",25,74
"c.25..78.",25,78
"c.25..83.",25,83
"c.25..90.",25,90
"c.25..96.",25,96
"c.26..29.",26,29
"c.26..32.",26,32
"c.26..34.",26,34
"c.26..37.",26,37
"c.26..47.",26,47
"c.26..49.",26,49
"c.26..51.",26,51
"c.26..52.",26,52
"c.26..56.",26,56
"c.26..58.",26,58
"c.26..63.",26,63
"c.26..65.",26,65
"c.26..79.",26,79
"c.26..80.",26,80
"c.26..82.",26,82
"c.27..38.",27,38
"c.27..41.",27,41
"c.27..42.",27,42
"c.27..46.",27,46
"c.27..48.",27,48
"c.27..53.",27,53
"c.27..54.",27,54
"c.27..60.",27,60
"c.27..61.",27,61
"c.27..64.",27,64
"c.27..68.",27,68
"c.27..69.",27,69
"c.27..74.",27,74
"c.27..78.",27,78
"c.27..86.",27,86
"c.27..90.",27,90
"c.28..38.",28,38
"c.28..40.",28,40
"c.28..41.",28,41
"c.28..53.",28,53
"c.28..54.",28,54
"c.28..60.",28,60
"c.28..66.",28,66
"c.28..67.",28,67
"c.28..68.",28,68
"c.28..69.",28,69
"c.28..72.",28,72
"c.28..74.",28,74
"c.28..77.",28,77
"c.28..83.",28,83
"c.29..32.",29,32
"c.29..34.",29,34
"c.29..37.",29,37
"c.29..47.",29,47
"c.29..49.",29,49
"c.29..51.",29,51
"c.29..52.",29,52
"c.29..58.",29,58
"c.29..59.",29,59
"c.29..63.",29,63
"c.29..65.",29,65
"c.29..82.",29,82
"c.29..94.",29,94
"c.29..95.",29,95
"c.29..97.",29,97
"c.30..35.",30,35
"c.30..38.",30,38
"c.30..40.",30,40
"c.30..41.",30,41
"c.30..42.",30,42
"c.30..46.",30,46
"c.30..48.",30,48
"c.30..53.",30,53
"c.30..68.",30,68
"c.30..76.",30,76
"c.30..83.",30,83
"c.30..87.",30,87
"c.31..55.",31,55
"c.31..75.",31,75
"c.31..85.",31,85
"c.31..86.",31,86
"c.31..87.",31,87
"c.31..88.",31,88
"c.31..89.",31,89
"c.31..90.",31,90
"c.31..92.",31,92
"c.31..93.",31,93
"c.32..34.",32,34
"c.32..36.",32,36
"c.32..37.",32,37
"c.32..47.",32,47
"c.32..56.",32,56
"c.32..58.",32,58
"c.32..79.",32,79
"c.32..80.",32,80
"c.32..82.",32,82
"c.32..84.",32,84
"c.32..91.",32,91
"c.32..94.",32,94
"c.32..95.",32,95
"c.32..97.",32,97
"c.32..98.",32,98
"c.33..35.",33,35
"c.33..38.",33,38
"c.33..43.",33,43
"c.33..44.",33,44
"c.33..45.",33,45
"c.33..53.",33,53
"c.33..69.",33,69
"c.33..70.",33,70
"c.33..72.",33,72
"c.33..76.",33,76
"c.33..77.",33,77
"c.33..78.",33,78
"c.33..83.",33,83
"c.33..90.",33,90
"c.34..36.",34,36
"c.34..37.",34,37
"c.34..47.",34,47
"c.34..51.",34,51
"c.34..52.",34,52
"c.34..56.",34,56
"c.34..58.",34,58
"c.34..59.",34,59
"c.34..79.",34,79
"c.34..80.",34,80
"c.34..91.",34,91
"c.34..94.",34,94
"c.34..95.",34,95
"c.34..97.",34,97
"c.34..98.",34,98
"c.35..38.",35,38
"c.35..42.",35,42
"c.35..46.",35,46
"c.35..48.",35,48
"c.35..60.",35,60
"c.35..64.",35,64
"c.35..68.",35,68
"c.35..70.",35,70
"c.35..76.",35,76
"c.35..81.",35,81
"c.35..87.",35,87
"c.36..47.",36,47
"c.36..50.",36,50
"c.36..56.",36,56
"c.36..58.",36,58
"c.36..79.",36,79
"c.36..80.",36,80
"c.36..82.",36,82
"c.36..84.",36,84
"c.36..91.",36,91
"c.36..94.",36,94
"c.36..95.",36,95
"c.36..97.",36,97
"c.36..98.",36,98
"c.37..47.",37,47
"c.37..49.",37,49
"c.37..51.",37,51
"c.37..52.",37,52
"c.37..56.",37,56
"c.37..58.",37,58
"c.37..63.",37,63
"c.37..65.",37,65
"c.37..79.",37,79
"c.37..82.",37,82
"c.37..94.",37,94
"c.37..97.",37,97
"c.37..98.",37,98
"c.38..42.",38,42
"c.38..46.",38,46
"c.38..53.",38,53
"c.38..60.",38,60
"c.38..61.",38,61
"c.38..64.",38,64
"c.38..68.",38,68
"c.38..69.",38,69
"c.38..72.",38,72
"c.38..74.",38,74
"c.38..76.",38,76
"c.38..83.",38,83
"c.38..90.",38,90
"c.38..96.",38,96
"c.39..40.",39,40
"c.39..41.",39,41
"c.39..43.",39,43
"c.39..45.",39,45
"c.39..48.",39,48
"c.39..54.",39,54
"c.39..62.",39,62
"c.39..69.",39,69
"c.39..72.",39,72
"c.39..78.",39,78
"c.39..81.",39,81
"c.40..41.",40,41
"c.40..53.",40,53
"c.40..54.",40,54
"c.40..60.",40,60
"c.40..68.",40,68
"c.40..72.",40,72
"c.40..81.",40,81
"c.40..83.",40,83
"c.41..53.",41,53
"c.41..54.",41,54
"c.41..67.",41,67
"c.41..68.",41,68
"c.41..69.",41,69
"c.41..72.",41,72
"c.41..74.",41,74
"c.41..81.",41,81
"c.41..83.",41,83
"c.42..44.",42,44
"c.42..53.",42,53
"c.42..54.",42,54
"c.42..60.",42,60
"c.42..64.",42,64
"c.42..68.",42,68
"c.42..69.",42,69
"c.42..70.",42,70
"c.42..76.",42,76
"c.42..83.",42,83
"c.42..87.",42,87
"c.42..90.",42,90
"c.43..44.",43,44
"c.43..53.",43,53
"c.43..54.",43,54
"c.43..61.",43,61
"c.43..64.",43,64
"c.43..68.",43,68
"c.43..69.",43,69
"c.43..70.",43,70
"c.43..72.",43,72
"c.43..78.",43,78
"c.43..83.",43,83
"c.43..90.",43,90
"c.44..53.",44,53
"c.44..54.",44,54
"c.44..60.",44,60
"c.44..61.",44,61
"c.44..64.",44,64
"c.44..68.",44,68
"c.44..69.",44,69
"c.44..72.",44,72
"c.44..74.",44,74
"c.44..77.",44,77
"c.44..83.",44,83
"c.44..90.",44,90
"c.45..53.",45,53
"c.45..66.",45,66
"c.45..68.",45,68
"c.45..70.",45,70
"c.45..72.",45,72
"c.45..77.",45,77
"c.45..78.",45,78
"c.45..83.",45,83
"c.46..48.",46,48
"c.46..53.",46,53
"c.46..60.",46,60
"c.46..61.",46,61
"c.46..64.",46,64
"c.46..68.",46,68
"c.46..72.",46,72
"c.46..76.",46,76
"c.46..86.",46,86
"c.46..87.",46,87
"c.46..90.",46,90
"c.46..96.",46,96
"c.47..56.",47,56
"c.47..58.",47,58
"c.47..79.",47,79
"c.47..80.",47,80
"c.47..82.",47,82
"c.47..84.",47,84
"c.47..91.",47,91
"c.47..94.",47,94
"c.47..95.",47,95
"c.47..97.",47,97
"c.47..98.",47,98
"c.48..53.",48,53
"c.48..60.",48,60
"c.48..61.",48,61
"c.48..68.",48,68
"c.48..74.",48,74
"c.48..78.",48,78
"c.48..90.",48,90
"c.48..96.",48,96
"c.49..51.",49,51
"c.49..52.",49,52
"c.49..58.",49,58
"c.49..63.",49,63
"c.49..65.",49,65
"c.49..79.",49,79
"c.49..82.",49,82
"c.49..95.",49,95
"c.49..97.",49,97
"c.50..56.",50,56
"c.50..79.",50,79
"c.50..80.",50,80
"c.50..82.",50,82
"c.50..84.",50,84
"c.50..87.",50,87
"c.50..91.",50,91
"c.50..98.",50,98
"c.51..52.",51,52
"c.51..58.",51,58
"c.51..59.",51,59
"c.51..63.",51,63
"c.51..65.",51,65
"c.51..94.",51,94
"c.51..95.",51,95
"c.51..97.",51,97
"c.52..58.",52,58
"c.52..59.",52,59
"c.52..63.",52,63
"c.52..65.",52,65
"c.52..79.",52,79
"c.52..94.",52,94
"c.52..97.",52,97
"c.53..54.",53,54
"c.53..60.",53,60
"c.53..61.",53,61
"c.53..68.",53,68
"c.53..69.",53,69
"c.53..72.",53,72
"c.53..74.",53,74
"c.53..78.",53,78
"c.53..83.",53,83
"c.53..86.",53,86
"c.53..90.",53,90
"c.54..60.",54,60
"c.54..64.",54,64
"c.54..68.",54,68
"c.54..69.",54,69
"c.54..72.",54,72
"c.54..74.",54,74
"c.54..78.",54,78
"c.54..83.",54,83
"c.54..90.",54,90
"c.55..75.",55,75
"c.55..85.",55,85
"c.55..87.",55,87
"c.55..88.",55,88
"c.55..89.",55,89
"c.55..90.",55,90
"c.55..92.",55,92
"c.55..93.",55,93
"c.56..58.",56,58
"c.56..79.",56,79
"c.56..80.",56,80
"c.56..82.",56,82
"c.56..84.",56,84
"c.56..91.",56,91
"c.56..94.",56,94
"c.56..95.",56,95
"c.56..97.",56,97
"c.56..98.",56,98
"c.57..66.",57,66
"c.57..67.",57,67
"c.57..69.",57,69
"c.57..72.",57,72
"c.57..74.",57,74
"c.57..76.",57,76
"c.57..78.",57,78
"c.57..83.",57,83
"c.57..90.",57,90
"c.58..59.",58,59
"c.58..79.",58,79
"c.58..80.",58,80
"c.58..84.",58,84
"c.58..91.",58,91
"c.58..94.",58,94
"c.58..95.",58,95
"c.58..97.",58,97
"c.58..98.",58,98
"c.59..79.",59,79
"c.59..80.",59,80
"c.59..91.",59,91
"c.59..94.",59,94
"c.59..95.",59,95
"c.59..97.",59,97
"c.59..98.",59,98
"c.59..99.",59,99
"c.60..61.",60,61
"c.60..64.",60,64
"c.60..68.",60,68
"c.60..74.",60,74
"c.60..76.",60,76
"c.60..83.",60,83
"c.60..90.",60,90
"c.60..96.",60,96
"c.61..64.",61,64
"c.61..68.",61,68
"c.61..72.",61,72
"c.61..74.",61,74
"c.61..78.",61,78
"c.61..87.",61,87
"c.61..90.",61,90
"c.61..96.",61,96
"c.62..67.",62,67
"c.62..70.",62,70
"c.62..71.",62,71
"c.62..72.",62,72
"c.62..73.",62,73
"c.62..78.",62,78
"c.62..81.",62,81
"c.62..83.",62,83
"c.62..87.",62,87
"c.63..65.",63,65
"c.63..80.",63,80
"c.63..82.",63,82
"c.63..94.",63,94
"c.64..68.",64,68
"c.64..69.",64,69
"c.64..70.",64,70
"c.64..74.",64,74
"c.64..76.",64,76
"c.64..83.",64,83
"c.64..90.",64,90
"c.64..96.",64,96
"c.65..94.",65,94
"c.65..97.",65,97
"c.65..98.",65,98
"c.66..67.",66,67
"c.66..69.",66,69
"c.66..70.",66,70
"c.66..72.",66,72
"c.66..74.",66,74
"c.66..76.",66,76
"c.66..83.",66,83
"c.67..69.",67,69
"c.67..70.",67,70
"c.67..72.",67,72
"c.67..74.",67,74
"c.67..76.",67,76
"c.67..83.",67,83
"c.68..74.",68,74
"c.68..86.",68,86
"c.68..90.",68,90
"c.68..96.",68,96
"c.69..72.",69,72
"c.69..74.",69,74
"c.69..76.",69,76
"c.69..83.",69,83
"c.70..72.",70,72
"c.70..76.",70,76
"c.70..83.",70,83
"c.71..72.",71,72
"c.71..73.",71,73
"c.71..81.",71,81
"c.72..74.",72,74
"c.72..83.",72,83
"c.72..90.",72,90
"c.73..78.",73,78
"c.73..81.",73,81
"c.74..78.",74,78
"c.74..83.",74,83
"c.74..90.",74,90
"c.74..96.",74,96
"c.75..85.",75,85
"c.75..87.",75,87
"c.75..88.",75,88
"c.75..89.",75,89
"c.75..90.",75,90
"c.75..92.",75,92
"c.75..93.",75,93
"c.76..83.",76,83
"c.76..90.",76,90
"c.77..78.",77,78
"c.77..83.",77,83
"c.78..83.",78,83
"c.78..90.",78,90
"c.78..96.",78,96
"c.79..80.",79,80
"c.79..82.",79,82
"c.79..84.",79,84
"c.79..91.",79,91
"c.79..94.",79,94
"c.79..95.",79,95
"c.79..97.",79,97
"c.79..98.",79,98
"c.80..82.",80,82
"c.80..84.",80,84
"c.80..91.",80,91
"c.80..94.",80,94
"c.80..95.",80,95
"c.80..97.",80,97
"c.80..98.",80,98
"c.81..83.",81,83
"c.82..84.",82,84
"c.82..91.",82,91
"c.82..94.",82,94
"c.82..97.",82,97
"c.82..98.",82,98
"c.83..90.",83,90
"c.84..91.",84,91
"c.84..94.",84,94
"c.84..95.",84,95
"c.84..97.",84,97
"c.84..98.",84,98
"c.85..87.",85,87
"c.85..88.",85,88
"c.85..89.",85,89
"c.85..90.",85,90
"c.85..92.",85,92
"c.85..93.",85,93
"c.86..90.",86,90
"c.86..96.",86,96
"c.87..96.",87,96
"c.88..89.",88,89
"c.88..90.",88,90
"c.88..92.",88,92
"c.88..93.",88,93
"c.89..90.",89,90
"c.89..92.",89,92
"c.89..93.",89,93
"c.90..96.",90,96
"c.91..94.",91,94
"c.91..95.",91,95
"c.91..97.",91,97
"c.91..98.",91,98
"c.92..93.",92,93
"c.94..95.",94,95
"c.94..97.",94,97
"c.94..98.",94,98
"c.95..97.",95,97
"c.95..98.",95,98
"c.97..98.",97,98
