"","V1","V2"
"c.0..7.",0,7
"c.0..11.",0,11
"c.0..17.",0,17
"c.0..25.",0,25
"c.0..30.",0,30
"c.0..35.",0,35
"c.0..38.",0,38
"c.0..40.",0,40
"c.0..42.",0,42
"c.0..43.",0,43
"c.0..53.",0,53
"c.0..54.",0,54
"c.0..60.",0,60
"c.0..64.",0,64
"c.0..68.",0,68
"c.0..69.",0,69
"c.0..70.",0,70
"c.0..76.",0,76
"c.0..81.",0,81
"c.1..7.",1,7
"c.1..8.",1,8
"c.1..10.",1,10
"c.1..17.",1,17
"c.1..18.",1,18
"c.1..19.",1,19
"c.1..20.",1,20
"c.1..23.",1,23
"c.1..31.",1,31
"c.1..45.",1,45
"c.1..55.",1,55
"c.1..75.",1,75
"c.1..81.",1,81
"c.1..85.",1,85
"c.1..88.",1,88
"c.1..89.",1,89
"c.1..90.",1,90
"c.1..92.",1,92
"c.1..93.",1,93
"c.2..5.",2,5
"c.2..7.",2,7
"c.2..12.",2,12
"c.2..17.",2,17
"c.2..33.",2,33
"c.2..41.",2,41
"c.2..43.",2,43
"c.2..44.",2,44
"c.2..45.",2,45
"c.2..53.",2,53
"c.2..54.",2,54
"c.2..66.",2,66
"c.2..69.",2,69
"c.2..70.",2,70
"c.2..72.",2,72
"c.2..74.",2,74
"c.2..77.",2,77
"c.2..78.",2,78
"c.2..83.",2,83
"c.3..9.",3,9
"c.3..13.",3,13
"c.3..16.",3,16
"c.3..32.",3,32
"c.3..34.",3,34
"c.3..37.",3,37
"c.3..47.",3,47
"c.3..51.",3,51
"c.3..52.",3,52
"c.3..56.",3,56
"c.3..58.",3,58
"c.3..63.",3,63
"c.3..80.",3,80
"c.3..82.",3,82
"c.3..84.",3,84
"c.3..91.",3,91
"c.3..94.",3,94
"c.3..97.",3,97
"c.3..98.",3,98
"c.4..5.",4,5
"c.4..6.",4,6
"c.4..7.",4,7
"c.4..8.",4,8
"c.4..12.",4,12
"c.4..14.",4,14
"c.4..30.",4,30
"c.4..33.",4,33
"c.4..35.",4,35
"c.4..41.",4,41
"c.4..45.",4,45
"c.4..62.",4,62
"c.4..70.",4,70
"c.4..71.",4,71
"c.4..72.",4,72
"c.4..73.",4,73
"c.4..81.",4,81
"c.4..83.",4,83
"c.4..87.",4,87
"c.5..11.",5,11
"c.5..12.",5,12
"c.5..17.",5,17
"c.5..25.",5,25
"c.5..33.",5,33
"c.5..38.",5,38
"c.5..45.",5,45
"c.5..46.",5,46
"c.5..60.",5,60
"c.5..64.",5,64
"c.5..66.",5,66
"c.5..67.",5,67
"c.5..69.",5,69
"c.5..70.",5,70
"c.5..72.",5,72
"c.5..74.",5,74
"c.5..76.",5,76
"c.5..83.",5,83
"c.5..90.",5,90
"c.6..7.",6,7
"c.6..14.",6,14
"c.6..17.",6,17
"c.6..25.",6,25
"c.6..27.",6,27
"c.6..30.",6,30
"c.6..33.",6,33
"c.6..35.",6,35
"c.6..38.",6,38
"c.6..40.",6,40
"c.6..41.",6,41
"c.6..53.",6,53
"c.6..54.",6,54
"c.6..72.",6,72
"c.6..76.",6,76
"c.6..78.",6,78
"c.6..81.",6,81
"c.6..83.",6,83
"c.6..90.",6,90
"c.7..14.",7,14
"c.7..17.",7,17
"c.7..25.",7,25
"c.7..30.",7,30
"c.7..33.",7,33
"c.7..38.",7,38
"c.7..40.",7,40
"c.7..41.",7,41
"c.7..43.",7,43
"c.7..45.",7,45
"c.7..53.",7,53
"c.7..54.",7,54
"c.7..68.",7,68
"c.7..77.",7,77
"c.7..81.",7,81
"c.7..83.",7,83
"c.8..14.",8,14
"c.8..15.",8,15
"c.8..24.",8,24
"c.8..25.",8,25
"c.8..30.",8,30
"c.8..35.",8,35
"c.8..38.",8,38
"c.8..40.",8,40
"c.8..42.",8,42
"c.8..48.",8,48
"c.8..60.",8,60
"c.8..68.",8,68
"c.8..70.",8,70
"c.8..81.",8,81
"c.8..83.",8,83
"c.8..87.",8,87
"c.9..12.",9,12
"c.9..26.",9,26
"c.9..32.",9,32
