"","V1","V2"
"c.0..25.",0,25
"c.0..35.",0,35
"c.0..40.",0,40
"c.0..42.",0,42
"c.0..81.",0,81
"c.0..102.",0,102
"c.0..129.",0,129
"c.0..131.",0,131
"c.0..136.",0,136
"c.0..169.",0,169
"c.0..171.",0,171
"c.0..187.",0,187
"c.0..274.",0,274
"c.0..276.",0,276
"c.0..306.",0,306
"c.0..315.",0,315
"c.0..339.",0,339
"c.0..343.",0,343
"c.0..347.",0,347
"c.1..10.",1,10
"c.1..18.",1,18
"c.1..20.",1,20
"c.1..23.",1,23
"c.1..75.",1,75
"c.1..85.",1,85
"c.1..107.",1,107
"c.1..160.",1,160
"c.1..162.",1,162
"c.1..165.",1,165
"c.1..218.",1,218
"c.1..257.",1,257
"c.1..272.",1,272
"c.1..275.",1,275
"c.1..295.",1,295
"c.1..325.",1,325
"c.1..361.",1,361
"c.1..366.",1,366
"c.1..377.",1,377
"c.2..7.",2,7
"c.2..17.",2,17
"c.2..43.",2,43
"c.2..54.",2,54
"c.2..69.",2,69
"c.2..136.",2,136
"c.2..137.",2,137
"c.2..166.",2,166
"c.2..172.",2,172
"c.2..174.",2,174
"c.2..177.",2,177
"c.2..235.",2,235
"c.2..284.",2,284
"c.2..294.",2,294
"c.2..304.",2,304
"c.2..305.",2,305
"c.2..316.",2,316
"c.2..342.",2,342
"c.2..399.",2,399
"c.3..37.",3,37
"c.3..47.",3,47
"c.3..63.",3,63
"c.3..82.",3,82
"c.3..94.",3,94
"c.3..98.",3,98
"c.3..110.",3,110
"c.3..115.",3,115
"c.3..118.",3,118
"c.3..126.",3,126
"c.3..135.",3,135
"c.3..148.",3,148
"c.3..216.",3,216
"c.3..254.",3,254
"c.3..267.",3,267
"c.3..268.",3,268
"c.3..319.",3,319
"c.3..381.",3,381
"c.3..384.",3,384
"c.4..62.",4,62
"c.4..103.",4,103
"c.4..104.",4,104
"c.4..120.",4,120
"c.4..133.",4,133
"c.4..141.",4,141
"c.4..142.",4,142
"c.4..144.",4,144
"c.4..145.",4,145
"c.4..149.",4,149
"c.4..150.",4,150
"c.4..157.",4,157
"c.4..197.",4,197
"c.4..287.",4,287
"c.4..296.",4,296
"c.4..300.",4,300
"c.4..340.",4,340
"c.4..364.",4,364
"c.4..374.",4,374
"c.5..12.",5,12
"c.5..33.",5,33
"c.5..66.",5,66
"c.5..72.",5,72
"c.5..76.",5,76
"c.5..83.",5,83
"c.5..111.",5,111
"c.5..113.",5,113
"c.5..129.",5,129
"c.5..137.",5,137
"c.5..147.",5,147
"c.5..153.",5,153
"c.5..171.",5,171
"c.5..224.",5,224
"c.5..226.",5,226
"c.5..260.",5,260
"c.5..304.",5,304
"c.5..342.",5,342
"c.5..392.",5,392
"c.6..30.",6,30
"c.6..40.",6,40
"c.6..41.",6,41
"c.6..83.",6,83
"c.6..102.",6,102
"c.6..111.",6,111
"c.6..112.",6,112
"c.6..145.",6,145
"c.6..171.",6,171
"c.6..196.",6,196
"c.6..208.",6,208
"c.6..222.",6,222
"c.6..229.",6,229
"c.6..274.",6,274
"c.6..286.",6,286
"c.6..292.",6,292
"c.6..307.",6,307
"c.6..334.",6,334
"c.6..393.",6,393
"c.7..17.",7,17
"c.7..40.",7,40
"c.7..41.",7,41
"c.7..83.",7,83
"c.7..102.",7,102
"c.7..119.",7,119
"c.7..131.",7,131
"c.7..136.",7,136
"c.7..166.",7,166
"c.7..167.",7,167
"c.7..171.",7,171
"c.7..196.",7,196
"c.7..294.",7,294
"c.7..304.",7,304
"c.7..316.",7,316
"c.7..334.",7,334
"c.7..347.",7,347
"c.7..359.",7,359
"c.8..14.",8,14
"c.8..15.",8,15
"c.8..30.",8,30
"c.8..35.",8,35
"c.8..40.",8,40
"c.8..81.",8,81
"c.8..87.",8,87
"c.8..106.",8,106
"c.8..119.",8,119
"c.8..145.",8,145
"c.8..189.",8,189
"c.8..196.",8,196
"c.8..263.",8,263
"c.8..274.",8,274
"c.8..286.",8,286
"c.8..310.",8,310
"c.8..331.",8,331
"c.8..393.",8,393
"c.9..37.",9,37
"c.9..50.",9,50
"c.9..63.",9,63
"c.9..80.",9,80
"c.9..82.",9,82
"c.9..101.",9,101
"c.9..110.",9,110
"c.9..114.",9,114
"c.9..115.",9,115
"c.9..126.",9,126
"c.9..135.",9,135
"c.9..148.",9,148
"c.9..205.",9,205
"c.9..242.",9,242
"c.9..255.",9,255
"c.9..289.",9,289
"c.9..301.",9,301
"c.9..380.",9,380
"c.10..18.",10,18
"c.10..20.",10,20
"c.10..23.",10,23
"c.10..75.",10,75
"c.10..92.",10,92
"c.10..105.",10,105
"c.10..107.",10,107
"c.10..160.",10,160
"c.10..165.",10,165
"c.10..218.",10,218
"c.10..241.",10,241
"c.10..257.",10,257
"c.10..275.",10,275
"c.10..295.",10,295
"c.10..313.",10,313
"c.10..325.",10,325
"c.10..361.",10,361
"c.10..377.",10,377
"c.11..25.",11,25
"c.11..38.",11,38
"c.11..46.",11,46
"c.11..53.",11,53
"c.11..60.",11,60
"c.11..74.",11,74
"c.11..86.",11,86
"c.11..111.",11,111
"c.11..129.",11,129
