"","V1","V2"
"c.0..25.",0,25
"c.0..35.",0,35
"c.0..38.",0,38
"c.0..40.",0,40
"c.0..42.",0,42
"c.0..43.",0,43
"c.0..53.",0,53
"c.0..68.",0,68
"c.0..70.",0,70
"c.0..76.",0,76
"c.0..81.",0,81
"c.1..10.",1,10
"c.1..18.",1,18
"c.1..20.",1,20
"c.1..23.",1,23
"c.1..55.",1,55
"c.1..75.",1,75
"c.1..85.",1,85
"c.1..88.",1,88
"c.1..89.",1,89
"c.1..92.",1,92
"c.2..7.",2,7
"c.2..17.",2,17
"c.2..33.",2,33
"c.2..43.",2,43
"c.2..53.",2,53
"c.2..54.",2,54
"c.2..69.",2,69
"c.2..72.",2,72
"c.3..16.",3,16
"c.3..32.",3,32
"c.3..34.",3,34
"c.3..37.",3,37
"c.3..47.",3,47
"c.3..56.",3,56
"c.3..58.",3,58
"c.3..63.",3,63
"c.3..80.",3,80
"c.3..82.",3,82
"c.3..91.",3,91
"c.3..94.",3,94
"c.3..98.",3,98
"c.4..62.",4,62
"c.4..71.",4,71
"c.4..73.",4,73
"c.5..12.",5,12
"c.5..17.",5,17
"c.5..33.",5,33
"c.5..38.",5,38
"c.5..46.",5,46
"c.5..60.",5,60
"c.5..66.",5,66
"c.5..72.",5,72
"c.5..76.",5,76
"c.5..83.",5,83
"c.6..7.",6,7
"c.6..30.",6,30
"c.6..40.",6,40
"c.6..41.",6,41
"c.6..72.",6,72
"c.6..83.",6,83
"c.7..17.",7,17
"c.7..30.",7,30
"c.7..40.",7,40
"c.7..41.",7,41
"c.7..81.",7,81
"c.7..83.",7,83
"c.8..14.",8,14
"c.8..15.",8,15
"c.8..24.",8,24
"c.8..30.",8,30
"c.8..35.",8,35
"c.8..40.",8,40
"c.8..81.",8,81
"c.8..87.",8,87
"c.9..32.",9,32
"c.9..37.",9,37
"c.9..47.",9,47
"c.9..49.",9,49
"c.9..50.",9,50
"c.9..56.",9,56
"c.9..63.",9,63
"c.9..80.",9,80
"c.9..82.",9,82
"c.10..18.",10,18
"c.10..20.",10,20
"c.10..23.",10,23
"c.10..55.",10,55
"c.10..75.",10,75
"c.10..85.",10,85
"c.10..89.",10,89
"c.10..92.",10,92
"c.11..25.",11,25
"c.11..27.",11,27
"c.11..38.",11,38
"c.11..46.",11,46
"c.11..53.",11,53
"c.11..60.",11,60
"c.11..68.",11,68
"c.11..74.",11,74
"c.11..86.",11,86
"c.11..96.",11,96
"c.12..38.",12,38
"c.12..53.",12,53
"c.12..60.",12,60
"c.12..64.",12,64
"c.12..66.",12,66
"c.12..67.",12,67
"c.12..69.",12,69
"c.12..72.",12,72
"c.12..74.",12,74
"c.13..22.",13,22
"c.13..32.",13,32
"c.13..34.",13,34
"c.13..36.",13,36
"c.13..47.",13,47
"c.13..56.",13,56
"c.13..58.",13,58
"c.13..79.",13,79
"c.13..80.",13,80
"c.13..91.",13,91
"c.13..94.",13,94
"c.13..95.",13,95
"c.13..97.",13,97
"c.13..98.",13,98
"c.14..24.",14,24
"c.14..30.",14,30
"c.14..35.",14,35
"c.14..40.",14,40
"c.14..48.",14,48
"c.15..21.",15,21
"c.15..24.",15,24
"c.15..30.",15,30
"c.15..35.",15,35
"c.15..42.",15,42
"c.15..46.",15,46
"c.15..60.",15,60
"c.15..76.",15,76
"c.15..87.",15,87
"c.16..32.",16,32
"c.16..34.",16,34
"c.16..37.",16,37
"c.16..47.",16,47
"c.16..51.",16,51
"c.16..58.",16,58
"c.16..59.",16,59
"c.16..91.",16,91
"c.16..94.",16,94
"c.16..97.",16,97
"c.16..98.",16,98
"c.17..33.",17,33
"c.17..43.",17,43
"c.17..53.",17,53
"c.17..54.",17,54
"c.17..69.",17,69
"c.17..70.",17,70
"c.17..72.",17,72
"c.18..20.",18,20
"c.18..23.",18,23
"c.18..45.",18,45
"c.18..66.",18,66
"c.18..75.",18,75
"c.18..85.",18,85
"c.18..92.",18,92
"c.19..23.",19,23
"c.19..31.",19,31
"c.19..55.",19,55
"c.19..75.",19,75
"c.19..88.",19,88
"c.19..89.",19,89
"c.19..92.",19,92
"c.20..23.",20,23
"c.20..75.",20,75
"c.20..85.",20,85
"c.20..88.",20,88
"c.20..92.",20,92
"c.21..24.",21,24
"c.21..25.",21,25
"c.21..30.",21,30
"c.21..35.",21,35
"c.21..42.",21,42
"c.21..46.",21,46
"c.21..48.",21,48
"c.21..61.",21,61
"c.21..68.",21,68
"c.21..76.",21,76
"c.21..87.",21,87
"c.22..32.",22,32
"c.22..36.",22,36
"c.22..47.",22,47
"c.22..56.",22,56
"c.22..79.",22,79
"c.22..80.",22,80
"c.22..84.",22,84
"c.22..95.",22,95
"c.22..97.",22,97
"c.22..98.",22,98
"c.23..75.",23,75
"c.23..88.",23,88
"c.23..92.",23,92
"c.24..25.",24,25
"c.24..30.",24,30
"c.24..35.",24,35
"c.24..42.",24,42
"c.24..48.",24,48
"c.24..60.",24,60
"c.24..64.",24,64
"c.24..68.",24,68
"c.24..87.",24,87
"c.25..38.",25,38
"c.25..42.",25,42
"c.25..53.",25,53
"c.25..60.",25,60
"c.25..61.",25,61
