"","V1","V2","V3"
"c.0..2..0.0909090909090909.",0,2,0.0909090909090909
"c.0..6..0.2.",0,6,0.2
"c.0..7..0.25.",0,7,0.25
"c.0..8..0.132075471698113.",0,8,0.132075471698113
"c.0..11..0.111111111111111.",0,11,0.111111111111111
"c.0..12..0.0714285714285714.",0,12,0.0714285714285714
"c.0..14..0.0909090909090909.",0,14,0.0909090909090909
"c.0..15..0.0909090909090909.",0,15,0.0909090909090909
"c.0..17..0.111111111111111.",0,17,0.111111111111111
"c.0..21..0.0909090909090909.",0,21,0.0909090909090909
"c.0..24..0.0714285714285714.",0,24,0.0714285714285714
"c.0..25..0.132075471698113.",0,25,0.132075471698113
"c.0..27..0.0714285714285714.",0,27,0.0714285714285714
"c.0..30..0.153846153846154.",0,30,0.153846153846154
"c.0..33..0.153846153846154.",0,33,0.153846153846154
"c.0..35..0.25.",0,35,0.25
"c.0..38..0.111111111111111.",0,38,0.111111111111111
"c.0..40..0.132075471698113.",0,40,0.132075471698113
"c.0..41..0.0909090909090909.",0,41,0.0909090909090909
"c.0..42..0.111111111111111.",0,42,0.111111111111111
"c.0..43..0.176470588235294.",0,43,0.176470588235294
"c.0..44..0.0909090909090909.",0,44,0.0909090909090909
"c.0..45..0.0909090909090909.",0,45,0.0909090909090909
"c.0..46..0.0909090909090909.",0,46,0.0909090909090909
"c.0..48..0.132075471698113.",0,48,0.132075471698113
"c.0..53..0.132075471698113.",0,53,0.132075471698113
"c.0..54..0.132075471698113.",0,54,0.132075471698113
"c.0..60..0.0714285714285714.",0,60,0.0714285714285714
"c.0..61..0.111111111111111.",0,61,0.111111111111111
"c.0..67..0.0714285714285714.",0,67,0.0714285714285714
"c.0..68..0.111111111111111.",0,68,0.111111111111111
"c.0..69..0.111111111111111.",0,69,0.111111111111111
"c.0..70..0.132075471698113.",0,70,0.132075471698113
"c.0..72..0.0714285714285714.",0,72,0.0714285714285714
"c.0..76..0.153846153846154.",0,76,0.153846153846154
"c.0..78..0.132075471698113.",0,78,0.132075471698113
"c.0..81..0.224489795918367.",0,81,0.224489795918367
"c.0..83..0.0909090909090909.",0,83,0.0909090909090909
"c.0..86..0.0909090909090909.",0,86,0.0909090909090909
"c.0..87..0.111111111111111.",0,87,0.111111111111111
"c.0..90..0.111111111111111.",0,90,0.111111111111111
"c.0..102..0.395348837209302.",0,102,0.395348837209302
"c.0..106..0.111111111111111.",0,106,0.111111111111111
"c.0..108..0.0714285714285714.",0,108,0.0714285714285714
"c.0..111..0.0714285714285714.",0,111,0.0714285714285714
"c.0..112..0.153846153846154.",0,112,0.153846153846154
"c.0..113..0.111111111111111.",0,113,0.111111111111111
"c.0..119..0.111111111111111.",0,119,0.111111111111111
"c.0..123..0.111111111111111.",0,123,0.111111111111111
"c.0..124..0.0714285714285714.",0,124,0.0714285714285714
"c.0..125..0.111111111111111.",0,125,0.111111111111111
