"","V1","V2"
"c.0..35.",0,35
"c.0..81.",0,81
"c.0..102.",0,102
"c.0..131.",0,131
"c.0..136.",0,136
"c.0..274.",0,274
"c.0..276.",0,276
"c.0..476.",0,476
"c.0..493.",0,493
"c.0..584.",0,584
"c.0..618.",0,618
"c.0..655.",0,655
"c.0..719.",0,719
"c.0..785.",0,785
"c.0..791.",0,791
"c.0..855.",0,855
"c.0..943.",0,943
"c.0..963.",0,963
"c.0..998.",0,998
"c.1..10.",1,10
"c.1..18.",1,18
"c.1..23.",1,23
"c.1..107.",1,107
"c.1..160.",1,160
"c.1..257.",1,257
"c.1..275.",1,275
"c.1..295.",1,295
"c.1..377.",1,377
"c.1..422.",1,422
"c.1..504.",1,504
"c.1..561.",1,561
"c.1..631.",1,631
"c.1..639.",1,639
"c.1..709.",1,709
"c.1..763.",1,763
"c.1..866.",1,866
"c.1..933.",1,933
"c.1..999.",1,999
"c.2..17.",2,17
"c.2..166.",2,166
"c.2..172.",2,172
"c.2..177.",2,177
"c.2..304.",2,304
"c.2..305.",2,305
"c.2..448.",2,448
"c.2..466.",2,466
"c.2..486.",2,486
"c.2..532.",2,532
"c.2..566.",2,566
"c.2..574.",2,574
"c.2..691.",2,691
"c.2..731.",2,731
"c.2..775.",2,775
"c.2..813.",2,813
"c.2..843.",2,843
"c.2..916.",2,916
"c.2..970.",2,970
"c.3..37.",3,37
"c.3..94.",3,94
"c.3..254.",3,254
"c.3..384.",3,384
"c.3..410.",3,410
"c.3..453.",3,453
"c.3..505.",3,505
"c.3..575.",3,575
"c.3..581.",3,581
"c.3..605.",3,605
"c.3..706.",3,706
"c.3..759.",3,759
"c.3..776.",3,776
"c.3..822.",3,822
"c.3..823.",3,823
"c.3..918.",3,918
"c.3..923.",3,923
"c.3..944.",3,944
"c.3..955.",3,955
"c.4..141.",4,141
"c.4..142.",4,142
"c.4..157.",4,157
"c.4..197.",4,197
"c.4..287.",4,287
"c.4..374.",4,374
"c.4..455.",4,455
"c.4..459.",4,459
"c.4..489.",4,489
"c.4..519.",4,519
